Source:,C:\Users\12251\OneDrive\Y3S2\Y2P\STM32board\Hardware\STM32Board.kicad_sch,,,,,
,,,,,,
Date:,2023/2/4 下午 8:40:58,,,,,
,,,,,,
Tool:,Eeschema (6.0.2),,,,,
,,,,,,
Generator:,D:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,
,,,,,,
Component Count:,28,,,,,
,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
,,,,,,
,,,,,,
,,,,,,
"C6, ",1,22uF,C,Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A,Unpolarized capacitor,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"J1, J2, ",2,Conn_01x03_Male,Conn_01x03_Male,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",
,,,,,,
"J3, ",1,Conn_01x06_Male,Conn_01x06_Male,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",
,,,,,,
"J4, ",1,Conn_01x04_Male,Conn_01x04_Male,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",
,,,,,,
"J7, ",1,Conn_01x02_Male,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
,,,,,,
"J8, J9, ",2,USB4105-GF-A,USB4105-GF-A,GCT_USB4105-GF-A,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"R4, ",1,1.5K,R,Resistor_SMD:R_0603_1608Metric,Resistor,
,,,,,,
"R5, R6, ",2,22R,R,Resistor_SMD:R_0603_1608Metric,Resistor,
,,,,,,
"SW1, ",1,SW_Push,SW_Push,Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,"Push button switch, generic, two pins",
,,,,,,
"SW2, ",1,SW_DIP_x01,SW_DIP_x01,Button_Switch_THT:SW_Slide_1P2T_CK_OS102011MS2Q,"1x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",
,,,,,,
"U1, ",1,STM32F103C8Tx,STM32F103C8Tx,Package_QFP:LQFP-48_7x7mm_P0.5mm,"ARM Cortex-M3 MCU, 64KB flash, 20KB RAM, 72MHz, 2-3.6V, 37 GPIO, LQFP-48",
,,,,,,
"U2, ",1,AMS1117-3.3,AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,"1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223",
,,,,,,
"Y1, ",1,8Mhz,Crystal,Crystal:Crystal_HC49-4H_Vertical,Two pin crystal,
